#Time	NodeType	NodeID	X	Y	Z
0	LTE	10	2000	2000	3
0	UAV	3	2000	2000	100
0	UAV	4	2500	2000	100
0	UAV	5	2250	2433.01	100
0	UAV	6	1750	2433.01	100
0	UAV	7	1500	2000	100
0	UAV	8	1750	1566.99	100
0	UAV	9	2250	1566.99	100
0	UE	11	1636.53	2334.29	0
0	UE	12	1508.78	1931.22	0
0	UE	13	1630.61	2222.17	0
0	UE	14	2459.34	2137.28	0
0	UE	15	1588.62	1868.18	0
0	UE	16	2212.69	1620.68	0
0	UE	17	2214.11	1680.24	0
0	UE	18	2217.1	1629.15	0
0	UE	19	1725.71	2324.14	0
0	UE	20	1881.29	1699.47	0
0	UE	21	1832.82	2006.5	0
0	UE	22	1870.45	1663.64	0
0	UE	23	1615.42	1890.64	0
0	UE	24	2380.25	2252.91	0
0	UE	25	1606.13	1761.86	0
0	UE	26	1719.69	2157	0
0	UE	27	2377.84	2031.35	0
0	UE	28	2004.72	2160.12	0
0	UE	29	1585.21	2133.97	0
0	UE	30	1600.93	1711.7	0
0	UE	31	2352.77	2203.39	0
0	UE	32	1919.53	2187.28	0
0	UE	33	2403.65	1727.46	0
0	UE	34	1713.67	2306.98	0
0	UE	35	1958.47	1867.53	0
0	UE	36	1913.09	1959.27	0
0	UE	37	1534.22	2019.27	0
0	UE	38	1741.38	1916.96	0
0	UE	39	2370.59	2045.95	0
0	UE	40	2319.55	1869.52	0
0	UE	41	2040.36	1875.03	0
0	UE	42	2383.03	1806.49	0
0	UE	43	1814.98	2203.42	0
0	UE	44	2163.3	1980.33	0
0	UE	45	2088.29	1512.15	0
0	UE	46	1814.41	1766.31	0
0	UE	47	2089.02	1670.48	0
0	UE	48	1825.45	1585.08	0
0	UE	49	2085.01	2447.43	0
0	UE	50	1626.03	2315.38	0
0	UE	51	2096.36	2235.78	0
0	UE	52	1623.68	2077.53	0
0	UE	53	1806.24	2378.12	0
0	UE	54	2045.4	2166.53	0
0	UE	55	2041.13	1932.12	0
0	UE	56	2062.47	2032.95	0
0	UE	57	2347.3	1896.32	0
0	UE	58	2307.2	1894.93	0
0	UE	59	1628.09	2013.82	0
0	UE	60	2146.04	2211.96	0
0	UE	61	2330.17	1721.08	0
0	UE	62	2028.72	1564.6	0
0	UE	63	2266.06	2362.82	0
0	UE	64	2338.27	1641.98	0
0	UE	65	1838.38	1838.59	0
0	UE	66	2109.88	2399.1	0
0	UE	67	1692.9	2181.81	0
0	UE	68	1942.76	2095.18	0
0	UE	69	1575.36	2108.85	0
0	UE	70	1704.84	1676.73	0
0	UE	71	2171.9	2068.71	0
0	UE	72	2064.91	2491.45	0
0	UE	73	2150.69	1537.65	0
