timestamp,ueImsiComplete,DRB.PdcpSduDelayDl(cellAverageLatency),m_pDCPBytesUL(0),m_pDCPBytesDL(cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID(txBytes),Tot.PdcpSduNbrDl.UEID(txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID(pdcpLatency),txPdcpPduLteRlc,txPdcpPduBytesLteRlc,QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1778855770139,00001,,,,,,,,,,,,,
1778855770139,00004,,,,,,,,,,,,,
1778855770139,00007,,,,,,,,,,,,,
1778855770139,00010,,,,,,,,,,,,,
1778855770139,00026,,,,,,,,,,,,,
1778855770139,00028,,,,,,,,,,,,,
1778855770139,00032,,,,,,,,,,,,,
1778855770239,00001,,,,,,,,,,,,,
1778855770239,00004,,,,,,,,,,,,,
1778855770239,00007,,,,,,,,,,,,,
1778855770239,00010,,,,,,,,,,,,,
1778855770239,00026,,,,,,,,,,,,,
1778855770239,00028,,,,,,,,,,,,,
1778855770239,00032,,,,,,,,,,,,,
1778855770339,00001,,,,,,,,,,,,,
1778855770339,00004,,,,,,,,,,,,,
1778855770339,00007,,,,,,,,,,,,,
1778855770339,00010,,,,,,,,,,,,,
1778855770339,00026,,,,,,,,,,,,,
1778855770339,00028,,,,,,,,,,,,,
1778855770339,00032,,,,,,,,,,,,,
1778855770439,00001,,,,,,,,,,,,,
1778855770439,00004,,,,,,,,,,,,,
1778855770439,00007,,,,,,,,,,,,,
1778855770439,00010,,,,,,,,,,,,,
1778855770439,00026,,,,,,,,,,,,,
1778855770439,00028,,,,,,,,,,,,,
1778855770439,00032,,,,,,,,,,,,,
1778855770539,00001,,,,,,,,,,,,,
1778855770539,00004,,,,,,,,,,,,,
1778855770539,00007,,,,,,,,,,,,,
1778855770539,00010,,,,,,,,,,,,,
1778855770539,00026,,,,,,,,,,,,,
1778855770539,00028,,,,,,,,,,,,,
1778855770539,00032,,,,,,,,,,,,,
1778855770639,00001,,,,,,,,,,,,,
1778855770639,00004,,,,,,,,,,,,,
1778855770639,00007,,,,,,,,,,,,,
1778855770639,00010,,,,,,,,,,,,,
1778855770639,00026,,,,,,,,,,,,,
1778855770639,00028,,,,,,,,,,,,,
1778855770639,00032,,,,,,,,,,,,,
1778855770739,00001,,,,,,,,,,,,,
1778855770739,00004,,,,,,,,,,,,,
1778855770739,00007,,,,,,,,,,,,,
1778855770739,00010,,,,,,,,,,,,,
1778855770739,00026,,,,,,,,,,,,,
1778855770739,00028,,,,,,,,,,,,,
1778855770739,00032,,,,,,,,,,,,,
1778855770839,00001,,,,,,,,,,,,,
1778855770839,00004,,,,,,,,,,,,,
1778855770839,00007,,,,,,,,,,,,,
1778855770839,00010,,,,,,,,,,,,,
1778855770839,00026,,,,,,,,,,,,,
1778855770839,00028,,,,,,,,,,,,,
1778855770839,00032,,,,,,,,,,,,,
