Timestamp UNIX Id State
0.1 1778855770139 2 1
0.1 1778855770139 3 1
0.1 1778855770139 4 1
0.1 1778855770139 5 1
0.1 1778855770139 6 1
0.1 1778855770139 7 1
0.1 1778855770139 8 1
0.2 1778855770239 2 1
0.2 1778855770239 3 1
0.2 1778855770239 4 0
0.2 1778855770239 5 0
0.2 1778855770239 6 1
0.2 1778855770239 7 0
0.2 1778855770239 8 1
0.3 1778855770339 2 1
0.3 1778855770339 3 0
0.3 1778855770339 4 1
0.3 1778855770339 5 0
0.3 1778855770339 6 0
0.3 1778855770339 7 1
0.3 1778855770339 8 0
0.4 1778855770439 2 1
0.4 1778855770439 3 1
0.4 1778855770439 4 0
0.4 1778855770439 5 1
0.4 1778855770439 6 1
0.4 1778855770439 7 1
0.4 1778855770439 8 0
0.5 1778855770539 2 1
0.5 1778855770539 3 1
0.5 1778855770539 4 0
0.5 1778855770539 5 1
0.5 1778855770539 6 0
0.5 1778855770539 7 1
0.5 1778855770539 8 0
0.6 1778855770639 2 1
0.6 1778855770639 3 1
0.6 1778855770639 4 0
0.6 1778855770639 5 1
0.6 1778855770639 6 0
0.6 1778855770639 7 1
0.6 1778855770639 8 0
0.7 1778855770739 2 1
0.7 1778855770739 3 1
0.7 1778855770739 4 0
0.7 1778855770739 5 1
0.7 1778855770739 6 0
0.7 1778855770739 7 1
0.7 1778855770739 8 0
0.8 1778855770839 2 1
0.8 1778855770839 3 1
0.8 1778855770839 4 0
0.8 1778855770839 5 1
0.8 1778855770839 6 0
0.8 1778855770839 7 1
0.8 1778855770839 8 0
0
0.705 1778855770744 5 1
0.705 1778855770744 6 0
0.705 1778855770744 7 1
0.705 1778855770744 8 0
0.805 1778855770844 2 1
0.805 1778855770844 3 1
0.805 1778855770844 4 0
0.805 1778855770844 5 1
0.805 1778855770844 6 0
0.805 1778855770844 7 1
0.805 1778855770844 8 0
