#Time	NodeType	NodeID	X	Y	Z
0	LTE	10	2000	2000	3
0	UAV	3	2200	2000	100
0	UAV	4	2624.7	2156.37	100
0	UAV	5	2205.5	2628	100
0	UAV	6	1569.81	2519.79	100
0	UAV	7	1319.81	1913.22	100
0	UAV	8	1705.5	1372	100
0	UAV	9	2374.7	1410.62	100
0	UE	11	1700	1700	1.5
0	UE	12	2000	1700	1.5
0	UE	13	2300	1700	1.5
0	UE	14	1700	2000	1.5
0	UE	15	2000	2000	1.5
0	UE	16	2300	2000	1.5
0	UE	17	1700	2300	1.5
0	UE	18	2000	2300	1.5
0	UE	19	2300	2300	1.5
0	UE	20	1887.5	2112.5	1.5
0	UE	21	2112.5	2112.5	1.5
0	UE	22	2337.5	2112.5	1.5
0	UE	23	1662.5	2337.5	1.5
0	UE	24	1887.5	2337.5	1.5
0	UE	25	2112.5	2337.5	1.5
0	UE	26	2337.5	2337.5	1.5
0	UE	27	1820	2180	1.5
0	UE	28	2000	2180	1.5
0	UE	29	2180	2180	1.5
0	UE	30	2360	2180	1.5
0	UE	31	1640	2360	1.5
0	UE	32	1820	2360	1.5
0	UE	33	2000	2360	1.5
0	UE	34	2180	2360	1.5
0	UE	35	2360	2360	1.5
0	UE	36	1775	2225	1.5
0	UE	37	1925	2225	1.5
0	UE	38	2075	2225	1.5
0	UE	39	2225	2225	1.5
0	UE	40	2375	2225	1.5
0	UE	41	1625	2375	1.5
0	UE	42	1775	2375	1.5
0	UE	43	1925	2375	1.5
0	UE	44	2075	2375	1.5
0	UE	45	2225	2375	1.5
0	UE	46	2375	2375	1.5
0	UE	47	1742.86	2257.14	1.5
0	UE	48	1871.43	2257.14	1.5
0	UE	49	2000	2257.14	1.5
0	UE	50	2128.57	2257.14	1.5
0	UE	51	2257.14	2257.14	1.5
0	UE	52	2385.71	2257.14	1.5
0	UE	53	1614.29	2385.71	1.5
0	UE	54	1742.86	2385.71	1.5
0	UE	55	1871.43	2385.71	1.5
0	UE	56	2000	2385.71	1.5
0	UE	57	2128.57	2385.71	1.5
0	UE	58	2257.14	2385.71	1.5
0	UE	59	2385.71	2385.71	1.5
0	UE	60	1718.75	2281.25	1.5
0	UE	61	1831.25	2281.25	1.5
0	UE	62	1943.75	2281.25	1.5
0	UE	63	2056.25	2281.25	1.5
0	UE	64	2168.75	2281.25	1.5
0	UE	65	2281.25	2281.25	1.5
0	UE	66	2393.75	2281.25	1.5
0	UE	67	1606.25	2393.75	1.5
0	UE	68	1718.75	2393.75	1.5
0	UE	69	1831.25	2393.75	1.5
0	UE	70	1943.75	2393.75	1.5
0	UE	71	2056.25	2393.75	1.5
0	UE	72	2168.75	2393.75	1.5
0	UE	73	2281.25	2393.75	1.5
0.5	LTE	10	2000	2000	3
0.5	UAV	3	2199.86	2007.5	100
0.5	UAV	4	2618.75	2160.93	100
0.5	UAV	5	2198.22	2626.19	100
0.5	UAV	6	1566.68	2512.97	100
0.5	UAV	7	1323.19	1906.53	100
0.5	UAV	8	1712.84	1370.47	100
0.5	UAV	9	2380.47	1415.41	100
0.5	UE	11	1702.75	1700	1.5
0.5	UE	12	2002.1	1700	1.5
0.5	UE	13	2300	1701.5	1.5
0.5	UE	14	1700	2000	1.5
0.5	UE	15	2001.25	2000.5	1.5
0.5	UE	16	2301.66	2001.11	1.5
0.5	UE	17	1702.54	2300	1.5
0.5	UE	18	2002.1	2300	1.5
0.5	UE	19	2300	2301.5	1.5
0.5	UE	20	1887.5	2112.5	1.5
0.5	UE	21	2113.75	2113	1.5
0.5	UE	22	2338.61	2114.16	1.5
0.5	UE	23	1664.85	2337.5	1.5
0.5	UE	24	1889.6	2337.5	1.5
0.5	UE	25	2112.5	2339	1.5
0.5	UE	26	2337.5	2337.5	1.5
0.5	UE	27	1821.25	2180.5	1.5
0.5	UE	28	2001.66	2181.11	1.5
0.5	UE	29	2182.19	2180	1.5
0.5	UE	30	2362.1	2180	1.5
0.5	UE	31	1640	2361.5	1.5
0.5	UE	32	1820	2360	1.5
0.5	UE	33	2001.25	2360.5	1.5
0.5	UE	34	2181.11	2361.66	1.5
0.5	UE	35	2362.07	2360	1.5
0.5	UE	36	1777.1	2225	1.5
0.5	UE	37	1925	2226.5	1.5
0.5	UE	38	2075	2225	1.5
0.5	UE	39	2226.25	2225.5	1.5
0.5	UE	40	2376.66	2226.11	1.5
