Timestamp UNIX Id State
0.1 1778854283612 2 1
0.1 1778854283612 3 1
0.1 1778854283612 4 1
0.1 1778854283612 5 1
0.1 1778854283612 6 1
0.1 1778854283612 7 1
0.1 1778854283612 8 1
0.2 1778854283712 2 1
0.2 1778854283712 3 0
0.2 1778854283712 4 0
0.2 1778854283712 5 0
0.2 1778854283712 6 0
0.2 1778854283712 7 0
0.2 1778854283712 8 1
0.3 1778854283812 2 0
0.3 1778854283812 3 1
0.3 1778854283812 4 0
0.3 1778854283812 5 1
0.3 1778854283812 6 1
0.3 1778854283812 7 0
0.3 1778854283812 8 1
0.4 1778854283912 2 1
0.4 1778854283912 3 1
0.4 1778854283912 4 0
0.4 1778854283912 5 1
0.4 1778854283912 6 1
0.4 1778854283912 7 1
0.4 1778854283912 8 0
0.5 1778854284012 2 1
0.5 1778854284012 3 1
0.5 1778854284012 4 0
0.5 1778854284012 5 1
0.5 1778854284012 6 1
0.5 1778854284012 7 1
0.5 1778854284012 8 0
0.6 1778854284112 2 1
0.6 1778854284112 3 1
0.6 1778854284112 4 0
0.6 1778854284112 5 1
0.6 1778854284112 6 1
0.6 1778854284112 7 1
0.6 1778854284112 8 0
0.7 1778854284212 2 1
0.7 1778854284212 3 1
0.7 1778854284212 4 0
0.7 1778854284212 5 1
0.7 1778854284212 6 1
0.7 1778854284212 7 1
0.7 1778854284212 8 0
0.8 1778854284312 2 1
0.8 1778854284312 3 1
0.8 1778854284312 4 0
0.8 1778854284312 5 1
0.8 1778854284312 6 1
0.8 1778854284312 7 1
0.8 1778854284312 8 0
0.9 1778854284412 2 1
0.9 1778854284412 3 1
0.9 1778854284412 4 0
0.9 1778854284412 5 1
0.9 1778854284412 6 1
0.9 1778854284412 7 1
0.9 1778854284412 8 0
1 1778854284512 2 1
1 1778854284512 3 1
1 1778854284512 4 0
1 1778854284512 5 1
1 1778854284512 6 1
1 1778854284512 7 1
1 1778854284512 8 0
5 1778854284417 3 1
0.905 1778854284417 4 0
0.905 1778854284417 5 1
0.905 1778854284417 6 1
0.905 1778854284417 7 1
0.905 1778854284417 8 0
