timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),eNB id,sameCellSinr,sameCellSinr 3gpp encoded
1769796115168,00047,63,51,1,0,1,16.222336,79.000000
1769796115168,00006,63,51,1,0,1,18.860523,84.000000
1769796115168,00049,63,51,1,0,1,13.668122,74.000000
1769796115168,00008,63,51,1,0,1,18.863792,84.000000
1769796115168,00055,63,51,1,0,1,16.410662,79.000000
1769796115168,00020,63,51,1,0,1,16.308515,79.000000
1769796115168,00033,63,51,1,0,1,16.788446,80.000000
1769796115168,00015,63,51,1,0,1,17.308922,81.000000
1769796115168,00050,63,51,1,0,1,16.416112,79.000000
1769796115168,00045,63,51,1,0,1,16.277655,79.000000
1769796115168,00043,63,51,1,0,1,13.673089,74.000000
1769796115168,00054,63,51,1,0,1,18.085517,83.000000
1769796115168,00014,63,51,1,0,1,17.384190,81.000000
1769796115168,00062,63,51,1,0,1,15.768432,78.000000
1769796115168,00025,63,51,1,0,1,14.267209,75.000000
1769796115168,00005,63,51,1,0,1,78.782741,127.000000
1769796115168,00053,63,51,1,0,1,19.253159,85.000000
1769796115168,00051,63,51,1,0,1,18.203545,83.000000
1769796115168,00031,63,51,1,0,1,13.917849,74.000000
1769796115168,00003,63,51,1,0,1,15.728259,78.000000
1769796115168,00038,63,51,1,0,1,19.235416,85.000000
1769796115168,00040,63,51,1,0,1,18.872280,84.000000
1769796115168,00032,63,51,1,0,1,15.591557,78.000000
1769796115168,00016,63,51,1,0,1,14.710212,76.000000
1769796115168,00024,63,51,1,0,1,16.308344,79.000000
1769796115168,00059,63,51,1,0,1,15.770663,78.000000
1769796115168,00061,63,51,1,0,1,16.413386,79.000000
1769796115168,00026,63,51,1,0,1,18.354823,83.000000
1769796115168,00011,63,51,1,0,1,24.367182,95.000000
1769796115168,00048,63,51,1,0,1,15.081403,77.000000
1769796115168,00021,63,51,1,0,1,14.374122,75.000000
1769796115168,00046,63,51,1,0,1,16.665507,80.000000
1769796115168,00044,63,51,1,0,1,15.085272,77.000000
1769796115168,00035,63,51,1,0,1,15.588702,78.000000
1769796115168,00039,63,51,1,0,1,20.191665,87.000000
1769796115168,00019,63,51,1,0,1,20.285144,87.000000
1769796115168,00012,63,51,1,0,1,17.379899,81.000000
1769796115168,00013,63,51,1,0,1,14.833283,76.000000
1769796115168,00022,63,51,1,0,1,16.410902,79.000000
1769796115168,00001,63,51,1,0,1,15.856688,78.000000
1769796115168,00060,63,51,1,0,1,16.412586,79.000000
1769796115168,00017,63,51,1,0,1,20.294015,87.000000
1769796115168,00058,63,51,1,0,1,14.858691,76.000000
1769796115168,00028,63,51,1,0,1,20.672492,88.000000
1769796115168,00023,63,51,1,0,1,17.280168,81.000000
1769796115168,00037,63,51,1,0,1,17.196155,81.000000
1769796115168,00027,63,51,1,0,1,20.995979,89.000000
1769796115168,00002,63,51,1,0,1,18.863792,84.000000
1769796115168,00056,63,51,1,0,1,14.709519,76.000000
1769796115168,00036,63,51,1,0,1,13.913006,74.000000
1769796115168,00007,63,51,1,0,1,15.856688,78.000000
1769796115168,00029,63,51,1,0,1,18.349429,83.000000
1769796115168,00009,63,51,1,0,1,15.723298,78.000000
1769796115168,00063,63,51,1,0,1,14.616417,76.000000
1769796115168,00030,63,51,1,0,1,15.587416,78.000000
1769796115168,00018,63,51,1,0,1,23.296673,93.000000
1769796115168,00041,63,51,1,0,1,17.189946,81.000000
1769796115168,00052,63,51,1,0,1,19.294873,85.000000
1769796115168,00004,63,51,1,0,1,19.441416,86.000000
1769796115168,00010,63,51,1,0,1,25.174894,97.000000
1769796115168,00034,63,51,1,0,1,16.631293,80.000000
1769796115168,00057,63,51,1,0,1,13.586831,74.000000
1769796115168,00042,63,51,1,0,1,15.081256,77.000000
