#Time	NodeType	NodeID	X	Y	Z
0	LTE	10	2000	2000	3
0	UAV	3	2000	2000	100
0	UAV	4	2500	2000	100
0	UAV	5	2250	2433.01	100
0	UAV	6	1750	2433.01	100
0	UAV	7	1500	2000	100
0	UAV	8	1750	1566.99	100
0	UAV	9	2250	1566.99	100
0	UE	11	1951.9	2162.37	0
0	UE	12	2010.8	2419.97	0
0	UE	13	1836.33	1954.05	0
0	UE	14	2093.36	2218.78	0
0	UE	15	1586.34	1854.69	0
0	UE	16	2288.57	2166.75	0
0	UE	17	2127.8	2061.54	0
0	UE	18	1946.91	1865.27	0
0	UE	19	1881.72	1580.27	0
0	UE	20	2145.2	2336.81	0
0	UE	21	2190.81	1891.71	0
0	UE	22	1676.39	1852.63	0
0	UE	23	1629.06	2320.65	0
0	UE	24	2114.18	2461.12	0
0	UE	25	1835.83	1704.42	0
0	UE	26	1600.68	1807.85	0
0	UE	27	1567.14	1883.28	0
0	UE	28	1636.03	1912.49	0
0	UE	29	1986.03	1767.98	0
0	UE	30	2444.76	2085.32	0
0	UE	31	2464.56	2046.36	0
0	UE	32	1748	2281.47	0
0	UE	33	2164.66	1621	0
0	UE	34	2337.97	2257.37	0
0	UE	35	1889.11	2309.04	0
0	UE	36	2292.56	2018.45	0
0	UE	37	2043.33	1984.72	0
0	UE	38	2077.51	2063.73	0
0	UE	39	1600.09	2079.22	0
0	UE	40	2254.36	2069.16	0
0	UE	41	1509.01	2005.04	0
0	UE	42	2332.56	2246.23	0
0	UE	43	1673.18	1638.46	0
0	UE	44	2074.05	2379.93	0
0	UE	45	1605.89	1826.18	0
0	UE	46	1757.36	1763.02	0
0	UE	47	1994.7	2299.59	0
0	UE	48	1764.24	1964.67	0
0	UE	49	1902.6	1609.06	0
0	UE	50	2002.15	1710.87	0
0	UE	51	1934.2	1607.78	0
0	UE	52	1777.24	2312.36	0
0	UE	53	2249.19	2024.99	0
0	UE	54	1653.84	1936.23	0
0	UE	55	1608.34	2285.02	0
0	UE	56	2029.89	1539.52	0
0	UE	57	2052.6	1769.71	0
0	UE	58	2161.66	1905.57	0
0	UE	59	2327.39	2028.61	0
0	UE	60	2097.43	1853.7	0
0	UE	61	2253.02	1639.65	0
0	UE	62	2252.86	2178.01	0
0	UE	63	2060.77	1836.54	0
0	UE	64	1699.67	2318.15	0
0	UE	65	1562.91	2057.89	0
0	UE	66	2081.29	2483.59	0
0	UE	67	2097.78	2423.52	0
0	UE	68	2233.96	1615.51	0
0	UE	69	1951.03	2402.37	0
0	UE	70	2268.76	2029.1	0
0	UE	71	1586.1	1820.49	0
0	UE	72	1892.2	1732.37	0
0	UE	73	2195.51	2310.6	0
