#Time	NodeType	NodeID	X	Y	Z
0	LTE	10	2000	2000	3
0	UAV	3	2000	2000	100
0	UAV	4	2500	2000	100
0	UAV	5	2250	2433.01	100
0	UAV	6	1750	2433.01	100
0	UAV	7	1500	2000	100
0	UAV	8	1750	1566.99	100
0	UAV	9	2250	1566.99	100
0	UE	11	2140.66	2256.74	0
0	UE	12	2234.93	1865.18	0
0	UE	13	2021.61	1595.79	0
0	UE	14	1603.03	2232.09	0
0	UE	15	1823.8	2069.54	0
0	UE	16	2103.3	1838.5	0
0	UE	17	2454.6	1827.63	0
0	UE	18	2148	1890.02	0
0	UE	19	1917.41	1600.95	0
0	UE	20	1862.34	1957.75	0
0	UE	21	2052.45	2013.78	0
0	UE	22	1945.11	1637.69	0
0	UE	23	2172.86	1656.11	0
0	UE	24	1662.95	1936.77	0
0	UE	25	1718.73	2276.43	0
0	UE	26	1875.08	1671.25	0
0	UE	27	1611.8	1746.25	0
0	UE	28	2331.62	2063.56	0
0	UE	29	1795.36	2382.93	0
0	UE	30	2236.07	2255.64	0
0	UE	31	1525.98	1866.76	0
0	UE	32	2031.66	1700.45	0
0	UE	33	1712.59	2278.5	0
0	UE	34	2008.2	2238.02	0
0	UE	35	1693.8	1762.61	0
0	UE	36	1618.24	2077.35	0
0	UE	37	2185.57	2046.6	0
0	UE	38	2012.08	1935.27	0
0	UE	39	1900.28	2412.05	0
0	UE	40	2016.41	1857.63	0
0	UE	41	2423.13	1869.84	0
0	UE	42	1731.68	1587.62	0
0	UE	43	2253.26	1735.42	0
0	UE	44	2064.28	2299.38	0
0	UE	45	2211.1	2073.14	0
0	UE	46	2109.17	1928.13	0
0	UE	47	2143.45	2082.43	0
0	UE	48	2051.42	1888.88	0
0	UE	49	1773.45	1697.11	0
0	UE	50	2243.34	1989.89	0
0	UE	51	1881.74	2242.47	0
0	UE	52	2005	1564.13	0
0	UE	53	1611.14	1977.69	0
0	UE	54	1588.92	1989.84	0
0	UE	55	2190.94	2443.93	0
0	UE	56	1646.05	2156.25	0
0	UE	57	1564.43	2012.28	0
0	UE	58	1995.8	1518.87	0
0	UE	59	2194.25	2456.98	0
0	UE	60	2071.27	1750.86	0
0	UE	61	1973.55	2013.54	0
0	UE	62	2022.02	2186.54	0
0	UE	63	2191.97	2045.63	0
0	UE	64	1669.03	1764.76	0
0	UE	65	2160.57	2137.03	0
0	UE	66	1765.73	2200.2	0
0	UE	67	2469.66	1968.77	0
0	UE	68	1618.5	1985.41	0
0	UE	69	2439.2	1880.91	0
0	UE	70	2149.53	2192.45	0
0	UE	71	2414.77	1748.36	0
0	UE	72	2159.06	2209.89	0
0	UE	73	2166.91	1731.71	0
