timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),eNB id,sameCellSinr,sameCellSinr 3gpp encoded
1778853275122,00015,63,50,1,0,1,32.442701,112.000000
1778853275122,00008,63,50,1,0,1,33.930232,115.000000
1778853275122,00030,63,50,1,0,1,30.648777,108.000000
1778853275122,00026,63,50,1,0,1,33.426834,114.000000
1778853275122,00031,63,50,1,0,1,28.986468,105.000000
1778853275122,00004,63,50,1,0,1,33.930241,115.000000
1778853275122,00018,63,50,1,0,1,38.356292,124.000000
1778853275122,00034,63,50,1,0,1,31.821749,111.000000
1778853275122,00041,63,50,1,0,1,32.253002,111.000000
1778853275122,00063,63,50,1,0,1,29.773584,106.000000
1778853275122,00009,63,50,1,0,1,30.915652,109.000000
1778853275122,00028,63,50,1,0,1,35.971376,119.000000
1778853275122,00043,63,50,1,0,1,28.741772,104.000000
1778853275122,00040,63,50,1,0,1,34.300067,116.000000
1778853275122,00020,63,50,1,0,1,31.369460,110.000000
1778853275122,00037,63,50,1,0,1,32.265688,111.000000
1778853275122,00029,63,50,1,0,1,33.411974,114.000000
1778853275122,00038,63,50,1,0,1,34.305736,116.000000
1778853275122,00010,63,50,1,0,1,39.439038,126.000000
1778853275122,00053,63,50,1,0,1,34.316016,116.000000
1778853275122,00011,63,50,1,0,1,39.425536,126.000000
1778853275122,00016,63,50,1,0,1,29.896956,107.000000
1778853275122,00039,63,50,1,0,1,35.259010,117.000000
1778853275122,00046,63,50,1,0,1,31.747394,110.000000
1778853275122,00032,63,50,1,0,1,30.660999,108.000000
1778853275122,00045,63,50,1,0,1,31.283748,109.000000
1778853275122,00035,63,50,1,0,1,30.652452,108.000000
1778853275122,00051,63,50,1,0,1,33.148633,113.000000
1778853275122,00054,63,50,1,0,1,33.145870,113.000000
1778853275122,00062,63,50,1,0,1,30.832633,109.000000
1778853275122,00007,63,50,1,0,1,30.927350,109.000000
1778853275122,00056,63,50,1,0,1,29.771831,106.000000
1778853275122,00042,63,50,1,0,1,30.142915,107.000000
1778853275122,00023,63,50,1,0,1,32.344235,112.000000
1778853275122,00027,63,50,1,0,1,35.960958,119.000000
1778853275122,00033,63,50,1,0,1,31.815070,111.000000
1778853275122,00014,63,50,1,0,1,32.452885,112.000000
1778853275122,00055,63,50,1,0,1,31.473364,110.000000
1778853275122,00017,63,50,1,0,1,35.360489,118.000000
1778853275122,00044,63,50,1,0,1,30.154770,107.000000
1778853275122,00060,63,50,1,0,1,31.474059,110.000000
1778853275122,00022,63,50,1,0,1,31.377564,110.000000
1778853275122,00006,63,50,1,0,1,33.920615,115.000000
1778853275122,00048,63,50,1,0,1,30.142915,107.000000
1778853275122,00003,63,50,1,0,1,30.924338,109.000000
1778853275122,00005,63,50,1,0,1,79.813217,127.000000
1778853275122,00047,63,50,1,0,1,31.286110,109.000000
1778853275122,00019,63,50,1,0,1,35.346322,118.000000
1778853275122,00024,63,50,1,0,1,31.369004,110.000000
1778853275122,00058,63,50,1,0,1,29.777965,106.000000
1778853275122,00052,63,50,1,0,1,34.320472,116.000000
1778853275122,00013,63,50,1,0,1,29.902998,107.000000
1778853275122,00057,63,50,1,0,1,28.554723,104.000000
1778853275122,00059,63,50,1,0,1,30.836122,109.000000
1778853275122,00049,63,50,1,0,1,28.732232,104.000000
1778853275122,00002,63,50,1,0,1,33.930232,115.000000
1778853275122,00001,63,50,1,0,1,30.927957,109.000000
1778853275122,00021,63,50,1,0,1,29.332768,105.000000
1778853275122,00050,63,50,1,0,1,31.487048,110.000000
1778853275122,00061,63,50,1,0,1,31.478998,110.000000
1778853275122,00036,63,50,1,0,1,28.975391,105.000000
1778853275122,00025,63,50,1,0,1,29.331391,105.000000
1778853275122,00012,63,50,1,0,1,32.441933,112.000000
