% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
325	1	0	33	0	28	9422	0	1	1	0
326	1	0	42	0	28	9422	0	1	1	0
328	1	0	58	0	28	9422	0	1	1	0
329	1	0	59	0	28	9422	0	1	1	0
330	1	0	61	0	28	9422	0	1	1	0
331	1	0	14	0	0	349	0	1	1	0
334	1	0	64	0	28	9422	0	1	1	0
335	1	0	29	0	28	9422	0	1	1	0
337	1	0	68	0	28	9422	0	1	1	0
339	1	0	11	0	28	4587	0	1	1	0
339	1	0	19	0	0	173	0	1	0	0
342	1	0	22	0	0	173	0	1	0	0
342	1	0	25	0	0	173	0	1	1	0
343	1	0	27	0	0	349	0	1	1	0
344	1	0	28	0	28	9422	0	1	1	0
345	1	0	41	0	28	9422	0	1	1	0
346	1	0	44	0	28	9422	0	1	1	0
347	1	0	45	0	28	9422	0	1	1	0
348	1	0	46	0	28	9422	0	1	1	0
349	1	0	50	0	28	9422	0	1	1	0
350	1	0	10	0	28	9422	0	1	1	0
351	1	0	51	0	28	4587	0	1	1	0
351	1	0	52	0	28	4587	0	1	0	0
353	1	0	16	0	28	9422	0	1	1	0
354	1	0	30	0	28	9422	0	1	1	0
355	1	0	33	0	28	9422	0	1	1	0
356	1	0	42	0	28	9422	0	1	1	0
357	1	0	57	0	28	9422	0	1	1	0
358	1	0	58	0	28	4587	0	1	1	0
358	1	0	61	0	28	4587	0	1	0	0
