Timestamp UNIX Id State
0.1 1778856956858 2 1
0.1 1778856956858 3 1
0.1 1778856956858 4 1
0.1 1778856956858 5 1
0.1 1778856956858 6 1
0.1 1778856956858 7 1
0.1 1778856956858 8 1
0.2 1778856956958 2 1
0.2 1778856956958 3 1
0.2 1778856956958 4 0
0.2 1778856956958 5 1
0.2 1778856956958 6 0
0.2 1778856956958 7 1
0.2 1778856956958 8 0
0.3 1778856957058 2 0
0.3 1778856957058 3 0
0.3 1778856957058 4 1
0.3 1778856957058 5 1
0.3 1778856957058 6 0
0.3 1778856957058 7 0
0.3 1778856957058 8 0
0.4 1778856957158 2 1
0.4 1778856957158 3 1
0.4 1778856957158 4 0
0.4 1778856957158 5 1
0.4 1778856957158 6 1
0.4 1778856957158 7 1
0.4 1778856957158 8 0
0.5 1778856957258 2 1
0.5 1778856957258 3 1
0.5 1778856957258 4 0
0.5 1778856957258 5 1
0.5 1778856957258 6 1
0.5 1778856957258 7 1
0.5 1778856957258 8 0
0.6 1778856957358 2 1
0.6 1778856957358 3 1
0.6 1778856957358 4 0
0.6 1778856957358 5 1
0.6 1778856957358 6 1
0.6 1778856957358 7 1
0.6 1778856957358 8 0
0.7 1778856957458 2 1
0.7 1778856957458 3 1
0.7 1778856957458 4 0
0.7 1778856957458 5 1
0.7 1778856957458 6 1
0.7 1778856957458 7 1
0.7 1778856957458 8 0
0.8 1778856957558 2 1
0.8 1778856957558 3 1
0.8 1778856957558 4 0
0.8 1778856957558 5 1
0.8 1778856957558 6 1
0.8 1778856957558 7 1
0.8 1778856957558 8 0
0.9 1778856957658 2 1
0.9 1778856957658 3 1
0.9 1778856957658 4 0
0.9 1778856957658 5 1
0.9 1778856957658 6 1
0.9 1778856957658 7 1
0.9 1778856957658 8 0
1 1778856957758 2 1
1 1778856957758 3 1
1 1778856957758 4 0
1 1778856957758 5 1
1 1778856957758 6 1
1 1778856957758 7 1
1 1778856957758 8 0
5 1778856957663 3 1
0.905 1778856957663 4 0
0.905 1778856957663 5 1
0.905 1778856957663 6 1
0.905 1778856957663 7 1
0.905 1778856957663 8 0
