timestamp,ueImsiComplete,DRB.PdcpSduDelayDl(cellAverageLatency),m_pDCPBytesUL(0),m_pDCPBytesDL(cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID(txBytes),Tot.PdcpSduNbrDl.UEID(txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID(pdcpLatency),txPdcpPduLteRlc,txPdcpPduBytesLteRlc,QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID(txPdcpPduNrRlc)
1778852337733,00015,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00008,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00030,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00026,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00031,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00004,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00018,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00034,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00041,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00063,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00009,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00028,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00043,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00040,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00020,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00037,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00029,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00038,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00010,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00053,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00011,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00016,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00039,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00046,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00032,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00045,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00035,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00051,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00054,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00062,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00007,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00056,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1778852337733,00042,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
