#Time	NodeType	NodeID	X	Y	Z
0	LTE	10	2000	2000	3
0	UAV	3	2000	2000	100
0	UAV	4	2500	2000	100
0	UAV	5	2250	2433.01	100
0	UAV	6	1750	2433.01	100
0	UAV	7	1500	2000	100
0	UAV	8	1750	1566.99	100
0	UAV	9	2250	1566.99	100
0	UE	11	2333.81	2294.58	0
0	UE	12	1690.47	2205.25	0
0	UE	13	2141.05	2053.5	0
0	UE	14	2355.89	1717.93	0
0	UE	15	2161.96	2013.35	0
0	UE	16	1737.15	2026.79	0
0	UE	17	1861.96	2012.31	0
0	UE	18	2350.82	1816.57	0
0	UE	19	2024.59	1670.19	0
0	UE	20	2153.91	1973.74	0
0	UE	21	1727.15	2226.98	0
0	UE	22	1999.79	1561.57	0
0	UE	23	1746.95	1826.86	0
0	UE	24	1935.33	1891.34	0
0	UE	25	1901.49	2439.09	0
0	UE	26	1741.37	2411.37	0
0	UE	27	2482.88	2070.74	0
0	UE	28	2351.82	1890.49	0
0	UE	29	2268.92	1709.58	0
0	UE	30	1524.38	2041.47	0
0	UE	31	2383.1	2065.4	0
0	UE	32	1939.73	1747.78	0
0	UE	33	2345.01	2157.93	0
0	UE	34	1815.8	1595.58	0
0	UE	35	2190.37	2214.47	0
0	UE	36	1728.63	2099.66	0
0	UE	37	1628.22	1749.79	0
0	UE	38	2154.68	2096.15	0
0	UE	39	1669.56	1939.22	0
0	UE	40	2289.81	2140.75	0
0	UE	41	2363.24	1880.93	0
0	UE	42	2319.6	1633.26	0
0	UE	43	2032.67	2448.39	0
0	UE	44	1914.42	1669.24	0
0	UE	45	1684.96	2307.73	0
0	UE	46	2229.57	2276.05	0
0	UE	47	1620.62	2154.42	0
0	UE	48	1597.03	1719.25	0
0	UE	49	2476.65	2075.32	0
0	UE	50	1989.97	2266.65	0
0	UE	51	2282.81	2061.53	0
0	UE	52	2071.52	2022.56	0
0	UE	53	2347.57	2167.42	0
0	UE	54	2005.21	2497.89	0
0	UE	55	1701.63	2004.08	0
0	UE	56	1651.83	1722.5	0
0	UE	57	1511.11	2104.19	0
0	UE	58	1614.55	1845.21	0
0	UE	59	2162.19	1881.35	0
0	UE	60	1986.4	2408.78	0
0	UE	61	1934.08	1917.02	0
0	UE	62	1921.06	1532.32	0
0	UE	63	2320.52	1988.99	0
0	UE	64	1678.1	2201.65	0
0	UE	65	1693.1	2258.95	0
0	UE	66	1958.02	2478.31	0
0	UE	67	1915.23	2203.31	0
0	UE	68	1568.76	2040.86	0
0	UE	69	1682.57	2022.87	0
0	UE	70	1874.68	1854.4	0
0	UE	71	1884.96	1814.97	0
0	UE	72	1845.02	1749.35	0
0	UE	73	1672.95	1985.02	0
